model,familiarize_side,phase,morning_idx,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Ipsundrum+affect_modulation_only,dull,post,1,0.8,0.8,0.42191311905569695,0.7072974608147936,0.5699627549385546,0.11728331041624245,0.16303706365936518,10
Ipsundrum+affect_modulation_only,dull,post,2,0.9,0.9,0.22817569412185817,0.744496572171998,0.571630339678465,0.10173151635777045,0.18887294163724902,10
Ipsundrum+affect_modulation_only,dull,post,3,0.9,0.9,0.16004013635417375,0.7257079449267025,0.571630339678465,0.11150522764509972,0.18887294163724902,10
Ipsundrum+affect_modulation_only,dull,post,4,0.8888888888888888,0.8888888888888888,0.1321850105353248,0.747105826868377,0.571630339678465,0.10076014854129449,0.18887294163724902,9
Ipsundrum+affect_modulation_only,dull,post,5,0.9,0.9,0.10614155609610346,0.7365753133033907,0.571630339678465,0.10617031210497821,0.18887294163724902,10
Ipsundrum+affect_modulation_only,none,baseline,0,1.0,1.0,0.0,0.7439772592764182,0.5860547141564618,0.11453190310037024,0.14237671824685022,10
Ipsundrum+affect_modulation_only,none,post,1,0.8,0.8166666666666667,0.0,0.7078905246372446,0.5621156251912034,0.11663317740530599,0.165457342386575,10
Ipsundrum+affect_modulation_only,none,post,2,0.8,0.8,-0.12460405463829294,0.730000401011018,0.5747551768133695,0.10619987774767602,0.16025656996726154,10
Ipsundrum+affect_modulation_only,none,post,3,0.9,0.9,-0.17378588164273928,0.7257079449267025,0.571630339678465,0.11150522764509972,0.18887294163724902,10
Ipsundrum+affect_modulation_only,none,post,4,0.9,0.9,-0.2233943193002547,0.7425548556396105,0.5630329325840957,0.103270454682662,0.16312795492699148,10
Ipsundrum+affect_modulation_only,none,post,5,0.9,0.9,-0.24193910612549577,0.7343654650995166,0.571630339678465,0.10771854116247481,0.18887294163724902,10
Ipsundrum+affect_modulation_only,scenic,baseline,0,1.0,1.0,0.0,0.7439772592764182,0.5860547141564618,0.11453190310037024,0.14237671824685022,10
Ipsundrum+affect_modulation_only,scenic,post,1,0.8,0.86875,-0.42191311905569695,0.7413896786752515,0.5561825408266967,0.10593527583200818,0.16746265508027272,10
Ipsundrum+affect_modulation_only,scenic,post,2,0.9,0.9,-0.364015019033163,0.7477652408096929,0.5580787941161559,0.10143368738996414,0.16399258143030498,10
Ipsundrum+affect_modulation_only,scenic,post,3,0.8,0.8,-0.3623986814440671,0.7354128162871891,0.5879939055861667,0.10513990791192201,0.16192557139097513,10
Ipsundrum+affect_modulation_only,scenic,post,4,0.9,0.9,-0.34730691499666333,0.7466157979047092,0.5630329325840957,0.10241350492222243,0.16312795492699148,10
Ipsundrum+affect_modulation_only,scenic,post,5,0.8888888888888888,0.8888888888888888,-0.368702222738728,0.7500407051699066,0.571630339678465,0.09883020777860303,0.18887294163724902,9
Ipsundrum+affect_readout_only,both,post,1,0.9,0.9,0.0,0.8216988833150771,0.6341285944404287,0.08140370368359245,0.11631717683802442,10
Ipsundrum+affect_readout_only,both,post,2,0.9,0.9,-0.004592340413541578,0.8171028001026086,0.6295553647881714,0.08777129305715246,0.1507363639872093,10
Ipsundrum+affect_readout_only,both,post,3,1.0,1.0,-0.011039279121723741,0.8189074790127031,,0.08363351341948205,,9
Ipsundrum+affect_readout_only,both,post,4,1.0,1.0,-0.015826420122290977,0.8189074790127031,,0.08363351341948205,,9
Ipsundrum+affect_readout_only,both,post,5,1.0,1.0,-0.019898368539449162,0.8201635282210274,,0.08188808294982167,,9
Ipsundrum+affect_readout_only,dull,post,1,0.9,0.9,0.42191311905569695,0.82239954893125,0.6341285944404287,0.08077182849942381,0.11631717683802442,10
Ipsundrum+affect_readout_only,dull,post,2,0.9,0.9,0.21410268880433875,0.8155944200026295,0.6295553647881714,0.08832528756666073,0.1507363639872093,10
Ipsundrum+affect_readout_only,dull,post,3,1.0,1.0,0.12321757132978234,0.8201635282210274,,0.08188808294982167,,9
Ipsundrum+affect_readout_only,dull,post,4,1.0,1.0,0.0899533084766648,0.8198858364249517,,0.08244486059256753,,9
Ipsundrum+affect_readout_only,dull,post,5,1.0,1.0,0.0690756923504047,0.8192522397018149,,0.08307091690960441,,9
Ipsundrum+affect_readout_only,none,post,1,0.9,0.9,0.0,0.82239954893125,0.6217539123861895,0.08077182849942381,0.11957320941505267,10
Ipsundrum+affect_readout_only,none,post,2,0.9,0.9,-0.18060770031304157,0.8155944200026295,0.629553196807431,0.08832528756666073,0.1501217546145058,10
Ipsundrum+affect_readout_only,none,post,3,1.0,1.0,-0.27541918443400504,0.8201635282210274,,0.08188808294982167,,9
Ipsundrum+affect_readout_only,none,post,4,1.0,1.0,-0.30868344728712255,0.8198858364249517,,0.08244486059256753,,9
Ipsundrum+affect_readout_only,none,post,5,1.0,1.0,-0.3295610634133827,0.8192522397018149,,0.08307091690960441,,9
Ipsundrum+affect_readout_only,scenic,post,1,0.9,0.9,-0.42191311905569695,0.8216988833150771,0.6217539123861895,0.08140370368359245,0.11957320941505267,10
Ipsundrum+affect_readout_only,scenic,post,2,0.9,0.9,-0.39649066314827824,0.8173804918986843,0.629553196807431,0.08721451541440658,0.1501217546145058,10
Ipsundrum+affect_readout_only,scenic,post,3,1.0,1.0,-0.40305756063224796,0.8189074790127031,,0.08363351341948205,,9
Ipsundrum+affect_readout_only,scenic,post,4,1.0,1.0,-0.40524743624578863,0.8189074790127031,,0.08363351341948205,,9
Ipsundrum+affect_readout_only,scenic,post,5,1.0,1.0,-0.40721900402192956,0.8189074790127031,,0.08363351341948205,,9
Ipsundrum+affect_readout_only,both,baseline,0,0.75,0.75,0.0,0.8434140092215044,0.6408435516657505,0.07310135132106617,0.14692727519432183,8
Ipsundrum+affect_readout_only,dull,baseline,0,0.75,0.75,0.0,0.8434140092215044,0.6408435516657505,0.07310135132106617,0.14692727519432183,8
Ipsundrum+affect_readout_only,none,baseline,0,0.75,0.75,0.0,0.8434140092215044,0.6408435516657505,0.07310135132106617,0.14692727519432183,8
Ipsundrum+affect_readout_only,scenic,baseline,0,0.75,0.75,0.0,0.8434140092215044,0.6408435516657505,0.07310135132106617,0.14692727519432183,8
Recon,both,post,1,,,,,,,,0
Ipsundrum,both,post,1,,,,,,,,0
Recon,both,post,2,,,,,,,,0
Ipsundrum,both,post,2,,,,,,,,0
Recon,both,post,3,,,,,,,,0
Ipsundrum,both,post,3,,,,,,,,0
Recon,both,post,4,,,,,,,,0
Ipsundrum,both,post,4,,,,,,,,0
Recon,both,post,5,,,,,,,,0
Ipsundrum,both,post,5,,,,,,,,0
Recon,dull,post,1,,,,,,,,0
Ipsundrum,dull,post,1,,,,,,,,0
Recon,dull,post,2,,,,,,,,0
Ipsundrum,dull,post,2,,,,,,,,0
Recon,dull,post,3,,,,,,,,0
Ipsundrum,dull,post,3,,,,,,,,0
