seed,episode,t,env_name,condition,metabolic_load,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,partner_energy_true,partner_energy_model,partner_energy_pred,partner_distress_self,has_food,x,partner_x,food_source_x,hazard_x,partner_alive,transfer_event,lesion_mode
57,57,7,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.8449999999999999,0.842260513305664,0.839521026611328,0.0,0.5700000000000001,0.0,0.0054789733886718,1.0,0.0054789733886718,0.7842344418733668,0.7594967954939489,0.638380390073294,0.9507451945845368,1.0154789733886718,0.1199999999999999,0.2407590162754058,0.1358633875846862,0.4592409837245941,0,0,6,0,3,1,0,none
57,57,8,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.8349999999999999,0.8386302566528319,0.842260513305664,0.0,0.58,0.0,-0.0072605133056641,1.0,0.0072605133056641,0.7750918852084423,0.7657348313797463,0.6765867224652297,0.9176798345193256,1.002739486694336,0.1099999999999999,0.2327846311032771,0.1259487703442573,0.4672153688967227,0,0,6,0,3,1,0,none
57,57,9,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.8249999999999998,0.8318151283264159,0.8386302566528319,0.0,0.59,0.0,-0.013630256652832,1.0,0.013630256652832,0.7705217686879359,0.7676496063030221,0.7039055876165674,0.9049081023070598,1.003630256652832,0.0999999999999999,0.2247942366637289,0.1159807888790964,0.475205763336271,0,0,6,0,3,1,0,none
57,57,10,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.8149999999999998,0.8234075641632079,0.8318151283264159,0.0,0.6,0.0,-0.016815128326416,1.0,0.016815128326416,0.7690794625966685,0.7682215488204807,0.7232003759777414,0.8955292647324005,1.006815128326416,0.0899999999999999,0.2167978387488983,0.1059927958296611,0.4832021612511016,0,0,6,0,3,1,0,none
57,57,11,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.8049999999999998,0.8142037820816039,0.8234075641632079,0.0,0.61,0.0,-0.0184075641632081,1.0,0.0184075641632081,0.7676846362531063,0.7680067837935309,0.7366422983224783,0.8839923927251692,1.008407564163208,0.0799999999999999,0.2087991895308368,0.0959972984361229,0.4912008104691631,0,0,6,0,3,1,0,none
57,57,12,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.7949999999999998,0.8046018910408019,0.8142037820816039,0.0,0.62,0.0,-0.0192037820816041,1.0,0.0192037820816041,0.7655441130865471,0.7670217155107374,0.745756123478956,0.8715082940413975,1.009203782081604,0.0699999999999999,0.2007996960740637,0.085998986913546,0.4992003039259362,0,0,6,0,3,1,0,none
57,57,13,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.7849999999999998,0.7948009455204008,0.8046018910408019,0.0,0.63,0.0,-0.0196018910408021,1.0,0.0196018910408021,0.7629577455240851,0.7653961275160766,0.7516481246900922,0.8586776581831255,1.009601891040802,0.0599999999999999,0.1927998860277739,0.0759996200925797,0.5072001139722261,0,0,6,0,3,1,0,none
57,57,14,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.7749999999999998,0.7849004727602003,0.7948009455204008,0.0,0.64,0.0,-0.019800945520401,1.0,0.019800945520401,0.7601036268787571,0.7632791272611488,0.7551374254614092,0.845798303999685,1.0098009455204011,0.0499999999999999,0.1847999572604152,0.0659998575347173,0.5152000427395848,0,0,6,0,3,1,0,none
57,57,15,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.7649999999999998,0.7749502363801,0.7849004727602003,0.0,0.65,0.0,-0.0199004727602004,1.0,0.0199004727602004,0.7570904682339311,0.7608036636502618,0.756837296918065,0.8330172842799592,1.0099004727602006,0.0399999999999999,0.1767999839726556,0.055999946575519,0.5232000160273442,0,0,6,0,3,1,0,none
57,57,16,SocialCorridorWorld,social_cognitive_direct,low,possessor,STAY,0.7549999999999998,0.7649751181900499,0.7749502363801,0.0,0.66,0.0,-0.0199502363801001,1.0,0.0199502363801001,0.753986280907311,0.7580767105530815,0.75720912100857,0.8204063308093039,1.0099502363801005,0.0299999999999999,0.1687999939897458,0.0459999799658196,0.5312000060102541,0,0,6,0,3,1,0,none
