model,arch_seed,env_seed,delay,success_rate,fork_score_margin,R
perspective_plastic,1,1,6,0.5,0.00010570378874974473,0.002178914816472359
perspective_plastic,1,1,12,0.5,0.02822129850080146,0.0006689004314969493
perspective_plastic,1,1,18,0.5,0.011950927390866617,6.406647170807689e-05
perspective_plastic,1,2,6,0.5,0.00010570378874974473,0.002178914816472359
perspective_plastic,1,2,12,0.5,0.02822129850080146,0.0006689004314969493
perspective_plastic,1,2,18,0.5,0.011950927390866617,6.406647170807689e-05
perspective_plastic,1,3,6,0.5,0.00010570378874974473,0.002178914816472359
perspective_plastic,1,3,12,0.5,0.02822129850080146,0.0006689004314969493
perspective_plastic,1,3,18,0.5,0.011950927390866617,6.406647170807689e-05
perspective_plastic,2,0,6,0.5,7.488955667511732e-05,0.007623628843306904
perspective_plastic,2,0,12,0.5,0.028605449089326662,0.004814783338500717
perspective_plastic,2,0,18,0.5,0.012090930985071635,0.003092051590898065
perspective_plastic,2,1,6,0.5,7.488955667511732e-05,0.007623628843306904
perspective_plastic,2,1,12,0.5,0.028605449089326662,0.004814783338500717
perspective_plastic,2,1,18,0.5,0.012090930985071635,0.003092051590898065
perspective_plastic,2,2,6,0.5,7.488955667511732e-05,0.007623628843306904
perspective_plastic,2,2,12,0.5,0.028605449089326662,0.004814783338500717
perspective_plastic,2,2,18,0.5,0.012090930985071635,0.003092051590898065
perspective_plastic,2,3,6,0.5,7.488955667511732e-05,0.007623628843306904
perspective_plastic,2,3,12,0.5,0.028605449089326662,0.004814783338500717
perspective_plastic,2,3,18,0.5,0.012090930985071635,0.003092051590898065
perspective_plastic,3,0,6,0.5,0.00011396623978010556,0.009426328355844324
perspective_plastic,3,0,12,0.5,0.02708728997959209,0.0038516099464645237
perspective_plastic,3,0,18,0.5,0.011901132873907927,0.007776606163264879
perspective_plastic,3,1,6,0.5,0.00011396623978010556,0.009426328355844324
perspective_plastic,3,1,12,0.5,0.02708728997959209,0.0038516099464645237
perspective_plastic,3,1,18,0.5,0.011901132873907927,0.007776606163264879
perspective_plastic,3,2,6,0.5,0.00011396623978010556,0.009426328355844324
perspective_plastic,3,2,12,0.5,0.02708728997959209,0.0038516099464645237
perspective_plastic,3,2,18,0.5,0.011901132873907927,0.007776606163264879
perspective_plastic,3,3,6,0.5,0.00011396623978010556,0.009426328355844324
perspective_plastic,3,3,12,0.5,0.02708728997959209,0.0038516099464645237
perspective_plastic,3,3,18,0.5,0.011901132873907927,0.007776606163264879
gw_lite,0,0,6,0.5,-0.00023306276201218168,0.011415893553260836
