model,seed,scenic_side,phase,familiarize_side,morning_idx,valid,decided,choice_entry,choice_commit,decided_commit,scenic_choice,scenic_time,dull_time,scenic_time_share,scenic_time_barrier,dull_time_barrier,scenic_time_share_barrier,split_delta_novelty,split_scenic_novelty,split_dull_novelty,split_pred_I_scenic,split_pred_I_dull,split_pred_valence_scenic,split_pred_valence_dull,split_pred_arousal_scenic,split_pred_arousal_dull,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull
Recon,2,left,post,dull,2,True,True,dull,dull,True,False,4,23,0.14814814814814814,0,14,0.0,0.12603726428762851,0.20412414523193154,0.07808688094430304,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,dull,3,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,0.1269724702508856,0.20412414523193154,0.07715167498104596,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,dull,4,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,0.1278748600656292,0.20412414523193154,0.07624928516630233,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,dull,5,True,True,dull,scenic,True,False,3,51,0.05555555555555555,0,31,0.0,0.12874630908749063,0.20412414523193154,0.07537783614444091,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,baseline,none,0,True,True,scenic,scenic,True,True,43,0,1.0,28,0,1.0,0.0,0.5,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,none,1,True,True,scenic,scenic,True,True,32,34,0.48484848484848486,11,22,0.3333333333333333,0.0,0.5,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,none,2,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,-0.08455098936288138,0.20412414523193154,0.2886751345948129,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,none,3,True,True,scenic,dull,True,True,27,21,0.5625,19,11,0.6333333333333333,-0.045875854768068464,0.20412414523193154,0.25,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,none,4,True,True,scenic,dull,True,True,27,21,0.5625,19,11,0.6333333333333333,-0.0468301024533421,0.17677669529663687,0.22360679774997896,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,none,5,True,True,dull,scenic,True,False,6,23,0.20689655172413793,0,11,0.0,-0.046010262223512566,0.15811388300841897,0.20412414523193154,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,baseline,scenic,0,True,True,scenic,scenic,True,True,43,0,1.0,28,0,1.0,0.0,0.5,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,scenic,1,True,True,dull,scenic,True,False,6,29,0.17142857142857143,0,22,0.0,-0.42191311905569695,0.07808688094430304,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,scenic,2,True,True,scenic,dull,True,True,18,15,0.5454545454545454,11,0,1.0,-0.2781755544488328,0.07537783614444091,0.35355339059327373,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,scenic,3,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,-0.27901779134328075,0.07453559924999299,0.35355339059327373,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,scenic,4,True,True,dull,scenic,True,False,25,32,0.43859649122807015,11,24,0.3142857142857143,-0.21413953534481994,0.07453559924999299,0.2886751345948129,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,scenic,5,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,-0.1528961196313242,0.07071067811865475,0.22360679774997896,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,3,right,baseline,both,0,True,True,scenic,scenic,True,True,21,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,both,1,True,True,scenic,dull,True,True,21,7,0.75,11,0,1.0,0.0,0.1091089451179962,0.1091089451179962,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,both,2,True,True,scenic,scenic,True,True,24,0,1.0,11,0,1.0,0.006600358177805202,0.10660035817780521,0.1,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,both,3,True,True,dull,dull,True,False,0,16,0.0,0,11,0.0,-0.0037749551350623745,0.09622504486493763,0.1,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,both,4,True,True,scenic,scenic,True,True,22,0,1.0,11,0,1.0,0.0,0.09622504486493763,0.09622504486493763,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,both,5,True,True,dull,dull,True,False,0,16,0.0,0,11,0.0,-0.004937951947409952,0.09128709291752768,0.09622504486493763,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,baseline,dull,0,True,True,scenic,scenic,True,True,21,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,dull,1,True,True,scenic,dull,True,True,25,23,0.5208333333333334,13,7,0.65,0.42191311905569695,0.5,0.07808688094430304,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,dull,2,True,True,scenic,scenic,True,True,42,17,0.711864406779661,26,11,0.7027027027027027,0.15067430200103168,0.22360679774997896,0.07293249574894728,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,dull,3,True,True,dull,dull,True,False,0,16,0.0,0,11,0.0,0.09449788301796343,0.16666666666666666,0.07216878364870323,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,dull,4,True,True,dull,scenic,True,False,5,18,0.21739130434782608,0,11,0.0,0.0959559885480119,0.16666666666666666,0.07071067811865475,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,dull,5,True,True,scenic,dull,True,True,18,5,0.782608695652174,11,0,1.0,0.08074166808748133,0.15075567228888181,0.07001400420140048,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,baseline,none,0,True,True,scenic,scenic,True,True,21,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,none,1,True,True,dull,dull,True,False,0,16,0.0,0,11,0.0,0.0,0.5,0.5,-0.19605480189943236,-0.0700495791025559,,,,,,,,
Recon,3,right,post,none,2,True,True,scenic,scenic,True,True,22,0,1.0,11,0,1.0,0.21132486540518708,0.5,0.2886751345948129,-0.19605480189943236,-0.0700495791025559,,,,,,,,
