model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Ipsundrum+affect,0,left,dull_familiar,test,2,scenic,True,True,0.2886751345948129,0.14433756729740646,-0.14433756729740646,0.2886751345948129,0.14433756729740646,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.1386750490563073,0.2862703735724677,-0.3,forward,False
Ipsundrum+affect,0,left,dull_familiar,test,3,scenic,True,True,0.22360679774997896,0.1386750490563073,-0.08493174869367168,0.22360679774997896,0.1386750490563073,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12909944487358055,0.27669476938974086,-0.3,forward,False
Ipsundrum+affect,0,left,dull_familiar,test,4,scenic,True,True,0.1889822365046136,0.1336306209562122,-0.0553516155484014,0.1889822365046136,0.1336306209562122,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12126781251816648,0.2688631370343269,-0.3,forward,False
Ipsundrum+affect,0,left,dull_familiar,test,5,scenic,True,True,0.16666666666666666,0.12909944487358055,-0.03756722179308611,0.16666666666666666,0.12909944487358055,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.11470786693528087,0.26230319145144126,-0.3,forward,False
Ipsundrum+affect,0,left,both_familiar,test,1,scenic,True,True,0.20412414523193154,0.20412414523193154,0.0,0.20412414523193154,0.20412414523193154,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.15075567228888181,0.29835099680504223,-0.3,forward,False
Ipsundrum+affect,0,left,both_familiar,test,2,scenic,True,True,0.17677669529663687,0.1889822365046136,0.012205541207976733,0.17677669529663687,0.1889822365046136,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.1386750490563073,0.2862703735724677,-0.3,forward,False
Ipsundrum+affect,0,left,both_familiar,test,3,scenic,True,True,0.15811388300841897,0.17677669529663687,0.018662812288217895,0.15811388300841897,0.17677669529663687,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12909944487358055,0.27669476938974086,-0.3,forward,False
Ipsundrum+affect,0,left,both_familiar,test,4,scenic,True,True,0.14433756729740646,0.16666666666666666,0.022329099369260197,0.14433756729740646,0.16666666666666666,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12126781251816648,0.2688631370343269,-0.3,forward,False
Ipsundrum+affect,0,left,both_familiar,test,5,scenic,True,True,0.1336306209562122,0.15811388300841897,0.024483262052206772,0.1336306209562122,0.15811388300841897,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.11470786693528087,0.26230319145144126,-0.3,forward,False
Ipsundrum+affect,0,left,none_familiar,test,1,scenic,True,True,0.5,0.5,0.0,0.5,0.5,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.5,0.6475953245161603,-0.30000000000000004,forward,False
