model,base_model,seed,policy,curiosity,w_epistemic,assay_variant,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
Recon_curiosity,recon,7,feelings,True,0.35,neutral_texture,145,1.9078947368421053,1.2301247650796239,4.7790696849470775,6.957781153456039,76,170.0,18,9.444443919753114,3,2,0.35927967661379495,0.945,0.055,0.055,0.095,0.095,0.275,0,9,0.96,0.0,0.08,5.981380707290384,1.1695906432748537,1.0,1.0,4.900000000000034,9.0,1.098901098901099,1.0,8.0,,,0.5538633014896852,,,
Recon_curiosity,recon,8,feelings,True,0.35,neutral_texture,144,1.894736842105263,1.6551061029596599,4.826220248967766,6.899544274213816,76,168.0,16,10.49999934375004,6,2,0.38744491915447626,0.94,0.06,0.06,0.1,0.1,0.28,1,13,0.96,0.0,0.08,5.886307314753091,1.1904761904761905,1.0,1.0,7.660000000000025,10.0,1.1111111111111112,1.0,8.0,,,0.567628228746275,,,
Recon_curiosity,recon,9,feelings,True,0.35,neutral_texture,144,1.565217391304348,1.887995770925276,4.890877903248165,7.064984002220657,92,178.0,12,14.833332097222327,0,0,0.3761216066220242,0.94,0.06,0.06,0.05,0.05,0.28,0,17,0.88,0.0,0.04,6.312561142264727,1.1235955056179776,1.0,1.0,4.0,7.0,1.0526315789473684,1.0,3.0,,,0.5816844784810982,,,
Recon_curiosity,recon,10,feelings,True,0.35,neutral_texture,136,1.7894736842105263,1.827977966609578,4.923297938034064,6.886038575728046,76,170.0,18,9.444443919753114,3,2,0.41170357248613354,0.935,0.065,0.065,0.085,0.085,0.32,1,17,0.96,0.0,0.09,5.909638954958267,1.1695906432748537,1.0,1.0,4.900000000000034,9.0,1.092896174863388,1.0,8.0,,,0.5752595621839894,,,
Recon_curiosity,recon,11,feelings,True,0.35,neutral_texture,118,1.2826086956521738,2.917808340278331,4.713091414036982,6.7898862521773795,92,186.0,16,11.624999273437545,0,0,0.3664462644533776,0.94,0.06,0.06,0.01,0.01,0.41,0,32,0.88,0.0,0.03,6.375720814493474,1.075268817204301,1.0,1.0,2.0,4.0,1.0101010101010102,1.0,3.0,,,0.6436037678421233,,,
Recon_curiosity,recon,12,feelings,True,0.35,neutral_texture,153,2.013157894736842,2.3738636506610726,4.827900683976133,7.069813013238871,76,174.0,12,14.499998791666767,3,2,0.41170357248613354,0.935,0.065,0.065,0.065,0.065,0.235,2,20,0.96,0.0,0.08,5.990514737272733,1.1494252873563218,1.0,1.0,4.0,10.0,1.0695187165775402,1.0,8.0,,,0.5987198311299538,,,
Recon_curiosity,recon,13,feelings,True,0.35,neutral_texture,137,1.4891304347826086,2.4643721863438564,4.815044116080963,6.7933919506631435,92,159.0,11,14.454544140495988,9,2,0.48127514286535256,0.92,0.08,0.08,0.125,0.125,0.315,3,34,0.88,0.0,0.09,5.960252894844469,1.2578616352201257,1.0,1.0,7.0999999999999375,12.0,1.1428571428571428,1.0,11.0,,,0.6323073346402159,,,
Recon_curiosity,recon,14,feelings,True,0.35,neutral_texture,118,1.2967032967032968,1.6044960207581322,4.80556481185718,6.719813013238872,91,174.0,10,17.399998260000174,3,2,0.387241130754733,0.935,0.065,0.065,0.065,0.065,0.41,1,13,0.88,0.0,0.08,6.258982204840448,1.1494252873563218,1.0,1.0,5.5400000000000205,9.0,1.0695187165775402,1.0,8.0,,,0.5672774424783327,,,
Recon_curiosity,recon,15,feelings,True,0.35,neutral_texture,171,1.858695652173913,1.3330295747918746,4.748710764272633,7.331209564709841,92,176.0,12,14.666665444444547,0,0,0.38744491915447626,0.94,0.06,0.06,0.06,0.06,0.145,0,11,0.88,0.0,0.04,6.324093674697011,1.1363636363636365,1.0,1.0,4.0,4.0,1.0638297872340425,1.0,3.0,,,0.5533562486123033,,,
Recon_curiosity,recon,16,feelings,True,0.35,neutral_texture,153,2.013157894736842,2.038102380605892,5.000484292062336,7.052264138217239,76,169.0,17,9.941175885813182,3,2,0.36194002149199234,0.945,0.055,0.055,0.1,0.1,0.235,0,18,0.96,0.0,0.09,5.964512939892543,1.1764705882352942,1.0,1.0,4.310000000000002,9.0,1.1049723756906078,1.0,8.0,,,0.5868732757255773,,,
Recon_curiosity,recon,17,feelings,True,0.35,neutral_texture,126,1.3695652173913044,1.9263769422986865,4.746709169286397,6.900081752263922,92,185.0,15,12.333332511111166,0,0,0.387241130754733,0.935,0.065,0.065,0.01,0.01,0.37,1,17,0.88,0.0,0.035,6.371237829732276,1.0810810810810811,1.0,1.0,2.0,5.0,1.0101010101010102,1.0,3.0,,,0.5857250805224229,,,
Recon_curiosity,recon,18,feelings,True,0.35,neutral_texture,153,2.013157894736842,1.1227445013605264,4.747115654461192,7.06603857572805,76,173.0,15,11.533332564444496,3,2,0.38744491915447626,0.94,0.06,0.06,0.075,0.075,0.235,0,9,0.96,0.0,0.09,5.9979764393853,1.1560693641618498,1.0,1.0,4.280000000000001,9.0,1.0810810810810811,1.0,8.0,,,0.5506665510127471,,,
Recon_curiosity,recon,19,feelings,True,0.35,neutral_texture,109,1.1978021978021978,1.3666931319592477,4.820478479313807,6.6659163145800235,91,185.0,17,10.882352301038098,0,0,0.372412119736515,0.935,0.065,0.065,0.01,0.01,0.455,1,12,0.88,0.0,0.035,6.366964064870908,1.075268817204301,1.0,1.0,2.0,5.0,1.0101010101010102,1.0,3.0,,,0.5631958961426139,,,
Ipsundrum_curiosity,humphrey,0,feelings,True,0.35,neutral_texture,153,2.013157894736842,1.6436966068243084,4.913496801148936,7.160081752263923,76,184.0,14,13.142856204081701,0,0,0.38744491915447626,0.94,0.06,0.06,0.02,0.02,0.235,1,15,0.96,1.0,0.045,6.092141877069197,1.0869565217391304,1.0,1.0,3.1699999999999875,4.0,1.0204081632653061,1.0,3.0,,,0.6998517626451661,,1.0,0.729336446464595
Ipsundrum_curiosity,humphrey,1,feelings,True,0.35,neutral_texture,154,2.026315789473684,2.3619972231679918,4.82850092749418,7.076038575728049,76,170.0,12,14.16666548611121,3,2,0.4590709165251198,0.925,0.075,0.075,0.075,0.075,0.23,2,24,0.96,1.0,0.09,5.985336925074447,1.1764705882352942,1.0,1.0,7.0,9.0,1.0810810810810811,1.0,8.0,,,0.7196490318453211,,1.0,0.7251559241028531
Ipsundrum_curiosity,humphrey,2,feelings,True,0.35,neutral_texture,118,1.5526315789473684,1.5754589012275089,4.512501600995994,6.585871340663963,76,170.0,18,9.444443919753114,3,2,0.3761216066220242,0.94,0.06,0.06,0.09,0.09,0.41,0,13,0.96,1.0,0.08,5.79428917478355,1.1695906432748537,1.0,1.0,7.0,9.0,1.092896174863388,1.0,8.0,,,0.68901861084602,,1.0,0.7300427163534331
