task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
gridworld,Ipsundrum,16,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
gridworld,Ipsundrum,17,1.55,123.75,0.75,0.33284271247461905,6.7282202755511396,0.9061999999999999,0.2798,0.6073303062343409,0.7165593279441989,,,20
gridworld,Ipsundrum,18,1.55,123.75,0.75,0.33284271247461905,6.7282202755511396,0.9061999999999999,0.2798,0.6073303062343409,0.7165593279441989,,,20
gridworld,Ipsundrum,19,1.45,123.95,0.75,0.33284271247461905,6.824303072096067,0.9029999999999999,0.2778,0.608499151200071,0.7165120949964435,,,20
gridworld,Ipsundrum,20,1.45,123.95,0.75,0.33284271247461905,6.824303072096067,0.9029999999999999,0.2778,0.608499151200071,0.7165120949964435,,,20
gridworld,Ipsundrum+affect,1,0.35,15.7,1.0,0.0,0.07071067811865475,0.6452,0.1292,0.2434169115642481,0.8515136831661639,0.8972851349148115,0.08204500559311906,20
gridworld,Ipsundrum+affect,2,0.25,17.0,1.0,0.0,0.05,0.6282,0.1182,0.23848232771033176,0.8532469011817861,0.902786320066479,0.07293969493845401,20
gridworld,Ipsundrum+affect,3,0.25,9.0,1.0,0.0,0.0,0.6202,0.1076,0.22848770074894312,0.8535562737431229,0.9250053596867532,0.06223650869734178,20
gridworld,Ipsundrum+affect,4,0.25,30.05,0.9,0.15,1.1792799162054912,0.6148,0.12079999999999999,0.2695816862305159,0.8418502960845922,0.9164251862647198,0.06342945104788077,20
gridworld,Ipsundrum+affect,5,0.15,17.75,0.95,0.1,0.7020797289396148,0.5906,0.1166,0.2615124329838517,0.8405632946421393,0.9403532727019315,0.056988888029146235,20
gridworld,Ipsundrum+affect,6,0.5,21.3,0.95,0.1,0.6520797289396147,0.5404,0.1116,0.27170823342220746,0.8353927894108034,0.9377078599558356,0.05629588141056169,20
gridworld,Ipsundrum+affect,7,0.15,6.0,1.0,0.0,0.15,0.509,0.1036,0.253203099550378,0.8375737206339453,0.9601767338082657,0.04713470456400681,20
gridworld,Ipsundrum+affect,8,0.2,6.0,1.0,0.0,0.0,0.45,0.1076,0.25781676567932515,0.834090394757013,0.9638972666753706,0.04456557865348378,20
gridworld,Ipsundrum+affect,9,0.2,5.4,1.0,0.0,0.05,0.43739999999999996,0.1086,0.25662502926178016,0.8343054077792369,0.9644304393708654,0.04364412311056641,20
