task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
corridor,Ipsundrum,19,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum,20,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum+affect,1,0.0,57.2,0.7,4.024264068711928,5.825171478254871,0.63875,0.351875,0.5785839760545536,0.9855816889060443,0.6750826906899688,0.1921489676672442,20
corridor,Ipsundrum+affect,2,0.0,63.75,0.55,5.253731918799075,7.264613400312527,0.65125,0.343125,0.6104038089052749,0.9856817475088684,0.6448668016270818,0.18900503751838757,20
corridor,Ipsundrum+affect,3,0.0,59.2,0.55,5.3769363779737755,7.4677261278346645,0.655,0.31062500000000004,0.5831257453739811,0.9839299485318067,0.6723769478158241,0.1816807680610808,20
corridor,Ipsundrum+affect,4,0.0,60.7,0.5,5.953817088652633,8.190784266913619,0.660625,0.286875,0.6058721798089542,0.9813132494525192,0.66782471181174,0.1797465252945435,20
corridor,Ipsundrum+affect,5,0.0,63.15,0.45,6.030853581428847,8.900492406310697,0.6725000000000001,0.290625,0.6252353499936344,0.9811394387506418,0.6560953012346058,0.1800804572175908,20
corridor,Ipsundrum+affect,6,0.0,54.35,0.7,3.420455004688624,4.972300268306983,0.6756249999999999,0.3275,0.5655789366485682,0.9794192585140516,0.7054056509689015,0.17467689685415272,20
corridor,Ipsundrum+affect,7,0.0,55.7,0.8,2.9535533905932736,4.693243618540453,0.684375,0.3325,0.5627139737668214,0.9794633174945961,0.705378994169153,0.17599163692860162,20
corridor,Ipsundrum+affect,8,0.0,58.8,0.75,2.9625258204440095,3.770614187317564,0.724375,0.328125,0.5852600524380055,0.9786165626478329,0.6934768770886603,0.17797599660973518,20
corridor,Ipsundrum+affect,9,0.0,52.35,0.8,2.429319295107592,3.2442172277390036,0.70625,0.344375,0.5491566436626666,0.9773194832017398,0.7269980238546708,0.17109281777277147,20
corridor,Ipsundrum+affect,10,0.0,48.25,0.8,2.954876698189862,4.203629101023077,0.7150000000000001,0.318125,0.5389081416589387,0.9741416203730984,0.744053817119814,0.16231465999356315,20
corridor,Ipsundrum+affect,11,0.0,51.0,0.85,2.6255873763085167,3.3936438177743375,0.735625,0.333125,0.5510029429709767,0.975856906938489,0.7283668892173029,0.1695553172269489,20
corridor,Ipsundrum+affect,12,0.0,52.2,0.9,2.396298054427171,2.952380666351843,0.748125,0.33999999999999997,0.5514893263069849,0.9749104731737137,0.7258408570257973,0.1683945419024915,20
corridor,Ipsundrum+affect,13,0.0,52.75,0.8,3.484166020071207,4.207654840131637,0.748125,0.3225,0.5609580321488119,0.9754789564320001,0.7183288943626149,0.16822095854072955,20
corridor,Ipsundrum+affect,14,0.0,53.35,0.75,3.4166800970648508,4.188472409523507,0.7537499999999999,0.315625,0.5520905908656546,0.9748945242439426,0.7254699559140467,0.1660905955690684,20
corridor,Ipsundrum+affect,15,0.0,51.1,0.7,3.425258740827542,4.239925412169632,0.73875,0.304375,0.5342217313729196,0.972483972539842,0.7466397383099448,0.1574598756952415,20
corridor,Ipsundrum+affect,16,0.0,48.8,0.7,3.4577728178211857,4.182140164642187,0.74125,0.296875,0.5231666387896137,0.9706874504758343,0.7585758774252417,0.15174441646913242,20
corridor,Ipsundrum+affect,17,0.0,46.2,0.75,3.387390775183506,4.043283957106298,0.780625,0.289375,0.5232362404610642,0.9697177455861187,0.7606919700440326,0.14976711356463673,20
corridor,Ipsundrum+affect,18,0.0,43.6,0.8,2.8778174593052026,3.6286172183750836,0.786875,0.2875,0.5083589851856111,0.9679762630211052,0.7741887424547034,0.14566658947833158,20
corridor,Ipsundrum+affect,19,0.0,41.9,0.85,2.3778174593052026,2.8931021216638833,0.78375,0.29562499999999997,0.49508720565810505,0.9673901363224703,0.7851171082997084,0.14419314590996038,20
corridor,Ipsundrum+affect,20,0.0,39.85,0.85,2.3689101800615373,2.8967916375304537,0.7675,0.290625,0.4823150477771341,0.9662096805113174,0.7975421199462721,0.1384161324252362,20
